STATION,route_id,hour,current_crowd,last_month_crowd,last_year_crowd
1 AV,L,1,44.0,35.0,177.0
1 AV,L,2,18.0,15.0,83.0
1 AV,L,3,12.0,10.0,44.0
1 AV,L,4,17.0,15.0,54.0
1 AV,L,5,48.0,43.0,124.0
1 AV,L,6,54.0,46.0,139.0
1 AV,L,7,79.0,68.0,183.0
1 AV,L,8,165.0,140.0,429.0
1 AV,L,9,236.0,185.0,736.0
1 AV,L,10,157.0,122.0,529.0
1 AV,L,11,113.0,88.0,389.0
1 AV,L,12,120.0,101.0,390.0
1 AV,L,13,104.0,89.0,284.0
1 AV,L,14,148.0,127.0,347.0
1 AV,L,15,154.0,133.0,356.0
1 AV,L,16,184.0,159.0,411.0
1 AV,L,17,195.0,167.0,437.0
1 AV,L,18,206.0,172.0,509.0
1 AV,L,19,186.0,158.0,457.0
1 AV,L,20,128.0,109.0,329.0
1 AV,L,21,94.0,81.0,327.0
1 AV,L,22,73.0,60.0,352.0
1 AV,L,23,55.0,45.0,460.0
1 AV,L,0,47.0,39.0,280.0
103 ST,1,1,162.0,131.0,402.0
103 ST,1,2,66.0,55.0,202.0
103 ST,1,3,32.0,29.0,111.0
103 ST,1,4,62.0,60.0,112.0
103 ST,1,5,127.0,115.0,197.0
103 ST,1,6,118.0,108.0,210.0
103 ST,1,7,205.0,182.0,393.0
103 ST,1,8,365.0,303.0,781.0
103 ST,1,9,540.0,417.0,1199.0
103 ST,1,10,395.0,308.0,1067.0
103 ST,1,11,287.0,218.0,784.0
103 ST,1,12,306.0,236.0,821.0
103 ST,1,13,322.0,260.0,769.0
103 ST,1,14,434.0,353.0,949.0
103 ST,1,15,432.0,354.0,947.0
103 ST,1,16,505.0,416.0,1082.0
103 ST,1,17,502.0,397.0,1154.0
103 ST,1,18,497.0,381.0,1369.0
103 ST,1,19,604.0,461.0,1621.0
103 ST,1,20,469.0,362.0,1268.0
103 ST,1,21,328.0,248.0,956.0
103 ST,1,22,232.0,172.0,743.0
103 ST,1,23,196.0,145.0,602.0
103 ST,1,0,159.0,123.0,448.0
103 ST,6,1,133.0,109.0,359.0
103 ST,6,2,63.0,52.0,216.0
103 ST,6,3,20.0,16.0,81.0
103 ST,6,4,33.0,28.0,89.0
103 ST,6,5,100.0,90.0,214.0
103 ST,6,6,125.0,107.0,246.0
103 ST,6,7,172.0,146.0,342.0
103 ST,6,8,265.0,222.0,564.0
103 ST,6,9,347.0,300.0,818.0
103 ST,6,10,168.0,151.0,602.0
103 ST,6,11,121.0,105.0,405.0
103 ST,6,12,166.0,135.0,481.0
103 ST,6,13,249.0,195.0,564.0
103 ST,6,14,324.0,270.0,638.0
103 ST,6,15,322.0,270.0,635.0
103 ST,6,16,384.0,320.0,728.0
103 ST,6,17,344.0,289.0,744.0
103 ST,6,18,372.0,299.0,899.0
103 ST,6,19,473.0,379.0,1100.0
103 ST,6,20,376.0,308.0,889.0
103 ST,6,21,295.0,236.0,837.0
103 ST,6,22,228.0,176.0,718.0
103 ST,6,23,204.0,158.0,658.0
103 ST,6,0,156.0,124.0,462.0
103 ST,B,1,0.0,0.0,0.0
103 ST,B,2,0.0,0.0,0.0
103 ST,B,3,0.0,0.0,0.0
103 ST,B,4,0.0,0.0,0.0
103 ST,B,5,0.0,0.0,0.0
103 ST,B,6,0.0,0.0,0.0
103 ST,B,7,227.0,195.0,453.0
103 ST,B,8,398.0,333.0,795.0
103 ST,B,9,637.0,514.0,1468.0
103 ST,B,10,447.0,350.0,1177.0
103 ST,B,11,283.0,217.0,776.0
103 ST,B,12,232.0,180.0,613.0
103 ST,B,13,231.0,185.0,554.0
103 ST,B,14,228.0,185.0,510.0
103 ST,B,15,225.0,185.0,492.0
103 ST,B,16,266.0,220.0,584.0
103 ST,B,17,324.0,265.0,733.0
103 ST,B,18,321.0,262.0,758.0
103 ST,B,19,410.0,330.0,982.0
103 ST,B,20,357.0,290.0,842.0
103 ST,B,21,191.0,150.0,549.0
103 ST,B,22,139.0,108.0,436.0
103 ST,B,23,180.0,144.0,551.0
103 ST,B,0,0.0,0.0,0.0
103 ST,C,1,0.0,0.0,0.0
103 ST,C,2,0.0,0.0,0.0
103 ST,C,3,0.0,0.0,0.0
103 ST,C,4,0.0,0.0,0.0
103 ST,C,5,0.0,0.0,0.0
103 ST,C,6,95.0,78.0,190.0
103 ST,C,7,109.0,91.0,218.0
103 ST,C,8,344.0,283.0,755.0
103 ST,C,9,638.0,507.0,1564.0
103 ST,C,10,509.0,408.0,1418.0
103 ST,C,11,380.0,299.0,1142.0
103 ST,C,12,330.0,263.0,959.0
103 ST,C,13,320.0,260.0,841.0
103 ST,C,14,355.0,289.0,856.0
103 ST,C,15,369.0,303.0,864.0
103 ST,C,16,439.0,364.0,1036.0
103 ST,C,17,545.0,445.0,1341.0
103 ST,C,18,483.0,387.0,1280.0
103 ST,C,19,611.0,485.0,1642.0
103 ST,C,20,516.0,411.0,1397.0
103 ST,C,21,304.0,247.0,969.0
103 ST,C,22,225.0,181.0,781.0
103 ST,C,23,166.0,138.0,595.0
103 ST,C,0,224.0,194.0,794.0
103 ST-CORONA,7,1,41.0,35.0,140.0
103 ST-CORONA,7,2,20.0,17.0,85.0
103 ST-CORONA,7,3,10.0,8.0,46.0
103 ST-CORONA,7,4,73.0,68.0,145.0
103 ST-CORONA,7,5,166.0,148.0,294.0
103 ST-CORONA,7,6,138.0,134.0,256.0
103 ST-CORONA,7,7,185.0,171.0,320.0
103 ST-CORONA,7,8,154.0,142.0,289.0
103 ST-CORONA,7,9,155.0,136.0,332.0
103 ST-CORONA,7,10,121.0,102.0,286.0
103 ST-CORONA,7,11,128.0,107.0,289.0
103 ST-CORONA,7,12,162.0,137.0,331.0
103 ST-CORONA,7,13,124.0,108.0,276.0
103 ST-CORONA,7,14,145.0,127.0,311.0
103 ST-CORONA,7,15,154.0,133.0,323.0
103 ST-CORONA,7,16,165.0,144.0,341.0
103 ST-CORONA,7,17,160.0,141.0,401.0
103 ST-CORONA,7,18,148.0,127.0,364.0
103 ST-CORONA,7,19,219.0,182.0,618.0
103 ST-CORONA,7,20,152.0,133.0,420.0
103 ST-CORONA,7,21,115.0,96.0,335.0
103 ST-CORONA,7,22,84.0,72.0,222.0
103 ST-CORONA,7,23,70.0,60.0,195.0
103 ST-CORONA,7,0,44.0,38.0,153.0
104 ST,A,1,98.0,86.0,305.0
104 ST,A,2,42.0,40.0,135.0
104 ST,A,3,1.0,1.0,2.0
104 ST,A,4,10.0,9.0,12.0
104 ST,A,5,23.0,21.0,30.0
104 ST,A,6,39.0,34.0,52.0
104 ST,A,7,114.0,101.0,219.0
104 ST,A,8,251.0,217.0,518.0
104 ST,A,9,323.0,266.0,730.0
104 ST,A,10,429.0,340.0,1076.0
104 ST,A,11,301.0,240.0,860.0
104 ST,A,12,249.0,203.0,716.0
104 ST,A,13,215.0,171.0,578.0
104 ST,A,14,208.0,174.0,561.0
104 ST,A,15,203.0,174.0,473.0
104 ST,A,16,199.0,167.0,458.0
104 ST,A,17,211.0,179.0,493.0
104 ST,A,18,234.0,186.0,579.0
104 ST,A,19,255.0,197.0,630.0
104 ST,A,20,301.0,233.0,755.0
104 ST,A,21,222.0,177.0,608.0
104 ST,A,22,124.0,101.0,366.0
104 ST,A,23,91.0,77.0,297.0
104 ST,A,0,105.0,88.0,321.0
104 ST,J,1,106.0,86.0,381.0
104 ST,J,2,81.0,66.0,254.0
104 ST,J,3,46.0,38.0,154.0
104 ST,J,4,45.0,40.0,129.0
104 ST,J,5,79.0,67.0,187.0
104 ST,J,6,93.0,77.0,197.0
104 ST,J,7,158.0,139.0,303.0
104 ST,J,8,187.0,175.0,357.0
104 ST,J,9,185.0,166.0,434.0
104 ST,J,10,261.0,218.0,586.0
104 ST,J,11,175.0,145.0,441.0
104 ST,J,12,181.0,156.0,455.0
104 ST,J,13,166.0,141.0,442.0
104 ST,J,14,213.0,178.0,548.0
104 ST,J,15,225.0,189.0,573.0
104 ST,J,16,273.0,231.0,691.0
104 ST,J,17,312.0,259.0,761.0
104 ST,J,18,342.0,277.0,811.0
104 ST,J,19,211.0,176.0,428.0
104 ST,J,20,359.0,288.0,919.0
104 ST,J,21,318.0,252.0,897.0
104 ST,J,22,239.0,187.0,779.0
104 ST,J,23,177.0,138.0,626.0
104 ST,J,0,124.0,98.0,452.0
104 ST,Z,1,0.0,0.0,0.0
104 ST,Z,2,0.0,0.0,0.0
104 ST,Z,3,0.0,0.0,0.0
104 ST,Z,4,0.0,0.0,0.0
104 ST,Z,5,0.0,0.0,0.0
104 ST,Z,6,0.0,0.0,0.0
104 ST,Z,7,0.0,0.0,0.0
104 ST,Z,8,232.0,192.0,462.0
104 ST,Z,9,226.0,192.0,463.0
104 ST,Z,10,0.0,0.0,0.0
104 ST,Z,11,0.0,0.0,0.0
104 ST,Z,12,0.0,0.0,0.0
104 ST,Z,13,0.0,0.0,0.0
104 ST,Z,14,0.0,0.0,0.0
104 ST,Z,15,0.0,0.0,0.0
104 ST,Z,16,0.0,0.0,0.0
104 ST,Z,17,0.0,0.0,0.0
104 ST,Z,18,0.0,0.0,0.0
104 ST,Z,19,584.0,465.0,1464.0
104 ST,Z,20,0.0,0.0,0.0
104 ST,Z,21,0.0,0.0,0.0
104 ST,Z,22,0.0,0.0,0.0
104 ST,Z,23,0.0,0.0,0.0
104 ST,Z,0,0.0,0.0,0.0
110 ST,6,1,135.0,113.0,375.0
110 ST,6,2,62.0,51.0,216.0
110 ST,6,3,20.0,16.0,83.0
110 ST,6,4,33.0,29.0,89.0
110 ST,6,5,100.0,90.0,213.0
110 ST,6,6,120.0,103.0,236.0
110 ST,6,7,191.0,163.0,367.0
110 ST,6,8,235.0,196.0,520.0
110 ST,6,9,329.0,286.0,783.0
110 ST,6,10,153.0,139.0,587.0
110 ST,6,11,108.0,95.0,377.0
110 ST,6,12,151.0,124.0,441.0
110 ST,6,13,235.0,184.0,523.0
110 ST,6,14,306.0,256.0,590.0
110 ST,6,15,302.0,253.0,560.0
110 ST,6,16,361.0,302.0,673.0
110 ST,6,17,322.0,272.0,696.0
110 ST,6,18,358.0,289.0,861.0
110 ST,6,19,447.0,361.0,1078.0
110 ST,6,20,359.0,297.0,851.0
110 ST,6,21,296.0,240.0,815.0
110 ST,6,22,218.0,169.0,706.0
110 ST,6,23,197.0,153.0,642.0
110 ST,6,0,160.0,125.0,463.0
111 ST,7,1,34.0,29.0,122.0
111 ST,7,2,16.0,13.0,78.0
111 ST,7,3,8.0,7.0,32.0
111 ST,7,4,44.0,39.0,89.0
111 ST,7,5,91.0,83.0,161.0
111 ST,7,6,92.0,84.0,158.0
111 ST,7,7,125.0,115.0,212.0
111 ST,7,8,95.0,88.0,184.0
111 ST,7,9,113.0,98.0,259.0
111 ST,7,10,82.0,67.0,218.0
111 ST,7,11,94.0,77.0,232.0
111 ST,7,12,109.0,91.0,244.0
111 ST,7,13,88.0,78.0,218.0
111 ST,7,14,104.0,91.0,245.0
111 ST,7,15,108.0,95.0,252.0
111 ST,7,16,132.0,114.0,282.0
111 ST,7,17,142.0,125.0,367.0
111 ST,7,18,132.0,113.0,332.0
111 ST,7,19,195.0,164.0,576.0
111 ST,7,20,140.0,121.0,399.0
111 ST,7,21,104.0,87.0,313.0
111 ST,7,22,75.0,64.0,204.0
111 ST,7,23,61.0,52.0,182.0
111 ST,7,0,38.0,32.0,142.0
111 ST,A,1,101.0,88.0,318.0
111 ST,A,2,42.0,41.0,135.0
