STATION,route_id,hour,current_crowd,last_month_crowd,last_year_crowd
103 ST,1,0,11.0,6.0,109.0
103 ST,1,1,6.0,6.0,94.0
103 ST,1,2,0.0,0.0,70.0
103 ST,1,3,0.0,0.0,107.0
103 ST,1,4,0.0,0.0,288.0
103 ST,1,5,150.0,98.0,443.0
103 ST,1,6,62.0,53.0,445.0
103 ST,1,7,40.0,28.0,307.0
103 ST,1,8,23.0,16.0,224.0
103 ST,1,9,25.0,17.0,244.0
103 ST,1,10,30.0,23.0,287.0
103 ST,1,11,56.0,40.0,296.0
103 ST,1,12,55.0,35.0,351.0
103 ST,1,13,57.0,35.0,363.0
103 ST,1,14,84.0,53.0,396.0
103 ST,1,15,81.0,49.0,394.0
103 ST,1,16,64.0,37.0,358.0
103 ST,1,17,52.0,28.0,345.0
103 ST,1,18,54.0,27.0,379.0
103 ST,1,19,41.0,21.0,354.0
103 ST,1,20,31.0,19.0,286.0
103 ST,1,21,21.0,16.0,211.0
103 ST,1,22,19.0,15.0,150.0
103 ST,1,23,17.0,12.0,130.0
103 ST,6,0,26.0,21.0,104.0
103 ST,6,1,25.0,15.0,53.0
103 ST,6,2,0.0,0.0,17.0
103 ST,6,3,0.0,0.0,18.0
103 ST,6,4,0.0,0.0,132.0
103 ST,6,5,114.0,82.0,328.0
103 ST,6,6,55.0,37.0,284.0
103 ST,6,7,32.0,22.0,173.0
103 ST,6,8,19.0,12.0,106.0
103 ST,6,9,14.0,11.0,96.0
103 ST,6,10,33.0,19.0,90.0
103 ST,6,11,28.0,24.0,115.0
103 ST,6,12,30.0,16.0,158.0
103 ST,6,13,38.0,22.0,160.0
103 ST,6,14,76.0,57.0,177.0
103 ST,6,15,74.0,44.0,191.0
103 ST,6,16,47.0,27.0,163.0
103 ST,6,17,45.0,25.0,145.0
103 ST,6,18,42.0,23.0,161.0
103 ST,6,19,44.0,23.0,170.0
103 ST,6,20,44.0,24.0,157.0
103 ST,6,21,40.0,20.0,165.0
103 ST,6,22,29.0,18.0,133.0
103 ST,6,23,21.0,19.0,122.0
103 ST,B,0,0.0,0.0,0.0
103 ST,B,1,0.0,0.0,0.0
103 ST,B,2,0.0,0.0,0.0
103 ST,B,3,0.0,0.0,0.0
103 ST,B,4,0.0,0.0,0.0
103 ST,B,5,190.0,110.0,386.0
103 ST,B,6,73.0,58.0,438.0
103 ST,B,7,37.0,29.0,278.0
103 ST,B,8,25.0,15.0,230.0
103 ST,B,9,14.0,6.0,188.0
103 ST,B,10,9.0,4.0,197.0
103 ST,B,11,18.0,10.0,200.0
103 ST,B,12,25.0,15.0,168.0
103 ST,B,13,36.0,20.0,162.0
103 ST,B,14,62.0,38.0,170.0
103 ST,B,15,55.0,25.0,174.0
103 ST,B,16,55.0,26.0,154.0
103 ST,B,17,56.0,27.0,140.0
103 ST,B,18,79.0,35.0,153.0
103 ST,B,19,57.0,28.0,144.0
103 ST,B,20,38.0,21.0,110.0
103 ST,B,21,26.0,17.0,88.0
103 ST,B,22,0.0,0.0,0.0
103 ST,B,23,0.0,0.0,0.0
103 ST,C,0,0.0,0.0,0.0
103 ST,C,1,0.0,0.0,0.0
103 ST,C,2,0.0,0.0,0.0
103 ST,C,3,0.0,0.0,0.0
103 ST,C,4,0.0,0.0,0.0
103 ST,C,5,30.0,14.0,196.0
103 ST,C,6,21.0,15.0,143.0
103 ST,C,7,13.0,11.0,130.0
103 ST,C,8,19.0,15.0,139.0
103 ST,C,9,15.0,8.0,125.0
103 ST,C,10,26.0,15.0,103.0
103 ST,C,11,38.0,28.0,102.0
103 ST,C,12,17.0,8.0,123.0
103 ST,C,13,23.0,13.0,117.0
103 ST,C,14,47.0,28.0,130.0
103 ST,C,15,61.0,38.0,129.0
103 ST,C,16,35.0,22.0,114.0
103 ST,C,17,39.0,26.0,92.0
103 ST,C,18,30.0,21.0,87.0
103 ST,C,19,25.0,19.0,76.0
103 ST,C,20,21.0,18.0,64.0
103 ST,C,21,13.0,10.0,56.0
103 ST,C,22,13.0,8.0,71.0
103 ST,C,23,16.0,8.0,91.0
103 ST-CORONA,7,0,1.0,0.0,5.0
103 ST-CORONA,7,1,3.0,0.0,3.0
103 ST-CORONA,7,2,0.0,0.0,4.0
103 ST-CORONA,7,3,0.0,0.0,124.0
103 ST-CORONA,7,4,0.0,0.0,366.0
103 ST-CORONA,7,5,273.0,171.0,441.0
103 ST-CORONA,7,6,93.0,53.0,246.0
103 ST-CORONA,7,7,50.0,29.0,170.0
103 ST-CORONA,7,8,35.0,21.0,151.0
103 ST-CORONA,7,9,29.0,18.0,157.0
103 ST-CORONA,7,10,28.0,19.0,160.0
103 ST-CORONA,7,11,40.0,25.0,145.0
103 ST-CORONA,7,12,37.0,24.0,114.0
103 ST-CORONA,7,13,29.0,20.0,82.0
103 ST-CORONA,7,14,24.0,21.0,58.0
103 ST-CORONA,7,15,19.0,15.0,60.0
103 ST-CORONA,7,16,11.0,7.0,50.0
103 ST-CORONA,7,17,9.0,6.0,41.0
103 ST-CORONA,7,18,7.0,4.0,35.0
103 ST-CORONA,7,19,8.0,5.0,31.0
103 ST-CORONA,7,20,6.0,4.0,26.0
103 ST-CORONA,7,21,5.0,3.0,19.0
103 ST-CORONA,7,22,2.0,2.0,13.0
103 ST-CORONA,7,23,0.0,1.0,9.0
104 ST,A,0,2.0,0.0,33.0
104 ST,A,1,2.0,1.0,5.0
104 ST,A,2,0.0,0.0,0.0
104 ST,A,3,0.0,0.0,11.0
104 ST,A,4,0.0,0.0,39.0
104 ST,A,5,83.0,27.0,78.0
104 ST,A,6,96.0,60.0,234.0
104 ST,A,7,54.0,32.0,235.0
104 ST,A,8,42.0,19.0,153.0
104 ST,A,9,40.0,21.0,231.0
104 ST,A,10,43.0,16.0,206.0
104 ST,A,11,39.0,17.0,187.0
104 ST,A,12,34.0,37.0,261.0
104 ST,A,13,37.0,24.0,226.0
104 ST,A,14,37.0,24.0,213.0
104 ST,A,15,49.0,27.0,191.0
104 ST,A,16,36.0,21.0,138.0
104 ST,A,17,37.0,19.0,117.0
104 ST,A,18,31.0,19.0,108.0
104 ST,A,19,29.0,17.0,82.0
104 ST,A,20,22.0,15.0,78.0
104 ST,A,21,16.0,12.0,87.0
104 ST,A,22,11.0,6.0,64.0
104 ST,A,23,7.0,4.0,82.0
104 ST,J,0,0.0,0.0,2.0
104 ST,J,1,3.0,2.0,0.0
104 ST,J,2,0.0,0.0,3.0
104 ST,J,3,0.0,0.0,46.0
104 ST,J,4,0.0,0.0,137.0
104 ST,J,5,179.0,109.0,276.0
104 ST,J,6,85.0,65.0,302.0
104 ST,J,7,75.0,55.0,325.0
104 ST,J,8,56.0,42.0,271.0
104 ST,J,9,36.0,23.0,161.0
104 ST,J,10,45.0,31.0,187.0
104 ST,J,11,52.0,34.0,175.0
104 ST,J,12,25.0,12.0,157.0
104 ST,J,13,20.0,12.0,135.0
104 ST,J,14,55.0,43.0,110.0
104 ST,J,15,13.0,10.0,87.0
104 ST,J,16,6.0,7.0,61.0
104 ST,J,17,4.0,4.0,40.0
104 ST,J,18,2.0,2.0,25.0
104 ST,J,19,2.0,4.0,37.0
104 ST,J,20,3.0,3.0,25.0
104 ST,J,21,3.0,1.0,15.0
104 ST,J,22,1.0,1.0,7.0
104 ST,J,23,1.0,0.0,5.0
104 ST,Z,0,0.0,0.0,0.0
104 ST,Z,1,0.0,0.0,0.0
104 ST,Z,2,0.0,0.0,0.0
104 ST,Z,3,0.0,0.0,0.0
104 ST,Z,4,0.0,0.0,0.0
104 ST,Z,5,0.0,0.0,0.0
104 ST,Z,6,0.0,0.0,0.0
104 ST,Z,7,25.0,16.0,73.0
104 ST,Z,8,15.0,10.0,46.0
104 ST,Z,9,0.0,0.0,0.0
104 ST,Z,10,0.0,0.0,0.0
104 ST,Z,11,0.0,0.0,0.0
104 ST,Z,12,0.0,0.0,0.0
104 ST,Z,13,0.0,0.0,0.0
104 ST,Z,14,0.0,0.0,0.0
104 ST,Z,15,0.0,0.0,0.0
104 ST,Z,16,0.0,0.0,0.0
104 ST,Z,17,2.0,1.0,29.0
104 ST,Z,18,1.0,2.0,18.0
104 ST,Z,19,0.0,0.0,0.0
104 ST,Z,20,0.0,0.0,0.0
104 ST,Z,21,0.0,0.0,0.0
104 ST,Z,22,0.0,0.0,0.0
104 ST,Z,23,0.0,0.0,0.0
110 ST,6,0,22.0,17.0,101.0
110 ST,6,1,19.0,13.0,50.0
110 ST,6,2,0.0,0.0,16.0
110 ST,6,3,0.0,0.0,17.0
110 ST,6,4,0.0,0.0,132.0
110 ST,6,5,133.0,90.0,309.0
110 ST,6,6,61.0,43.0,308.0
110 ST,6,7,37.0,27.0,188.0
110 ST,6,8,20.0,14.0,117.0
110 ST,6,9,15.0,11.0,106.0
110 ST,6,10,30.0,21.0,103.0
110 ST,6,11,37.0,40.0,126.0
110 ST,6,12,33.0,19.0,165.0
110 ST,6,13,36.0,20.0,164.0
110 ST,6,14,70.0,53.0,176.0
110 ST,6,15,62.0,37.0,191.0
110 ST,6,16,49.0,27.0,149.0
110 ST,6,17,38.0,21.0,159.0
110 ST,6,18,41.0,22.0,159.0
110 ST,6,19,38.0,21.0,159.0
110 ST,6,20,45.0,23.0,163.0
110 ST,6,21,35.0,18.0,159.0
110 ST,6,22,29.0,19.0,127.0
