STATION,route_id,hour,crowd
103 ST,1,0,51.0
103 ST,1,1,2.0
103 ST,1,2,1.0
103 ST,1,3,7.0
103 ST,1,4,32.0
103 ST,1,5,50.0
103 ST,1,6,442.0
103 ST,1,7,835.0
103 ST,1,8,1228.0
103 ST,1,9,1620.0
103 ST,1,10,159.0
103 ST,1,11,68.0
103 ST,1,12,50.0
103 ST,1,13,293.0
103 ST,1,14,283.0
103 ST,1,15,436.0
103 ST,1,16,392.0
103 ST,1,17,231.0
103 ST,1,18,316.0
103 ST,1,19,185.0
103 ST,1,20,91.0
103 ST,1,21,36.0
103 ST,1,22,34.0
103 ST,1,23,33.0
103 ST,3,0,0.0
103 ST,3,1,0.0
103 ST,3,2,0.0
103 ST,3,3,0.0
103 ST,3,4,0.0
103 ST,3,5,0.0
103 ST,3,6,0.0
103 ST,3,7,0.0
103 ST,3,8,0.0
103 ST,3,9,0.0
103 ST,3,10,0.0
103 ST,3,11,0.0
103 ST,3,12,0.0
103 ST,3,13,0.0
103 ST,3,14,0.0
103 ST,3,15,0.0
103 ST,3,16,0.0
103 ST,3,17,0.0
103 ST,3,18,0.0
103 ST,3,19,0.0
103 ST,3,20,0.0
103 ST,3,21,0.0
103 ST,3,22,0.0
103 ST,3,23,0.0
103 ST,4,0,0.0
103 ST,4,1,0.0
103 ST,4,2,0.0
103 ST,4,3,0.0
103 ST,4,4,0.0
103 ST,4,5,0.0
103 ST,4,6,0.0
103 ST,4,7,0.0
103 ST,4,8,0.0
103 ST,4,9,0.0
103 ST,4,10,0.0
103 ST,4,11,0.0
103 ST,4,12,0.0
103 ST,4,13,0.0
103 ST,4,14,0.0
103 ST,4,15,0.0
103 ST,4,16,0.0
103 ST,4,17,0.0
103 ST,4,18,0.0
103 ST,4,19,0.0
103 ST,4,20,0.0
103 ST,4,21,0.0
103 ST,4,22,0.0
103 ST,4,23,0.0
103 ST,5,0,0.0
103 ST,5,1,0.0
103 ST,5,2,0.0
103 ST,5,3,0.0
103 ST,5,4,0.0
103 ST,5,5,0.0
103 ST,5,6,0.0
103 ST,5,7,0.0
103 ST,5,8,0.0
103 ST,5,9,0.0
103 ST,5,10,0.0
103 ST,5,11,0.0
103 ST,5,12,0.0
103 ST,5,13,0.0
103 ST,5,14,0.0
103 ST,5,15,0.0
103 ST,5,16,0.0
103 ST,5,17,0.0
103 ST,5,18,0.0
103 ST,5,19,0.0
103 ST,5,20,0.0
103 ST,5,21,0.0
103 ST,5,22,0.0
103 ST,5,23,0.0
103 ST,6,0,0.0
103 ST,6,1,0.0
103 ST,6,2,0.0
103 ST,6,3,0.0
103 ST,6,4,0.0
103 ST,6,5,0.0
103 ST,6,6,0.0
103 ST,6,7,0.0
103 ST,6,8,0.0
103 ST,6,9,0.0
103 ST,6,10,0.0
103 ST,6,11,0.0
103 ST,6,12,0.0
103 ST,6,13,0.0
103 ST,6,14,0.0
103 ST,6,15,0.0
103 ST,6,16,0.0
103 ST,6,17,0.0
103 ST,6,18,0.0
103 ST,6,19,0.0
103 ST,6,20,0.0
103 ST,6,21,0.0
103 ST,6,22,0.0
103 ST,6,23,0.0
103 ST,6X,0,0.0
103 ST,6X,1,0.0
103 ST,6X,2,0.0
103 ST,6X,3,0.0
103 ST,6X,4,0.0
103 ST,6X,5,0.0
103 ST,6X,6,0.0
103 ST,6X,7,0.0
103 ST,6X,8,0.0
103 ST,6X,9,0.0
103 ST,6X,10,0.0
103 ST,6X,11,0.0
103 ST,6X,12,0.0
103 ST,6X,13,0.0
103 ST,6X,14,0.0
103 ST,6X,15,0.0
103 ST,6X,16,0.0
103 ST,6X,17,0.0
103 ST,6X,18,0.0
103 ST,6X,19,0.0
103 ST,6X,20,0.0
103 ST,6X,21,0.0
103 ST,6X,22,0.0
103 ST,6X,23,0.0
103 ST,A,0,235.0
103 ST,A,1,235.0
103 ST,A,2,235.0
103 ST,A,3,35.0
103 ST,A,4,10.0
103 ST,A,5,6.0
103 ST,A,6,0.0
103 ST,A,7,43.0
103 ST,A,8,87.0
103 ST,A,9,130.0
103 ST,A,10,0.0
103 ST,A,11,0.0
103 ST,A,12,0.0
103 ST,A,13,0.0
103 ST,A,14,0.0
103 ST,A,15,0.0
103 ST,A,16,0.0
103 ST,A,17,0.0
103 ST,A,18,0.0
103 ST,A,19,0.0
103 ST,A,20,0.0
103 ST,A,21,0.0
103 ST,A,22,0.0
103 ST,A,23,0.0
103 ST,B,0,18.0
103 ST,B,1,13.0
103 ST,B,2,21.0
103 ST,B,3,29.0
103 ST,B,4,37.0
103 ST,B,5,46.0
103 ST,B,6,54.0
103 ST,B,7,62.0
103 ST,B,8,70.0
103 ST,B,9,78.0
103 ST,B,10,346.0
103 ST,B,11,107.0
103 ST,B,12,64.0
103 ST,B,13,81.0
103 ST,B,14,127.0
103 ST,B,15,245.0
103 ST,B,16,265.0
103 ST,B,17,279.0
103 ST,B,18,375.0
103 ST,B,19,263.0
103 ST,B,20,254.0
103 ST,B,21,72.0
103 ST,B,22,42.0
103 ST,B,23,29.0
103 ST,C,0,4.0
103 ST,C,1,1.0
103 ST,C,2,1.0
103 ST,C,3,0.0
103 ST,C,4,5.0
103 ST,C,5,10.0
103 ST,C,6,14.0
103 ST,C,7,19.0
103 ST,C,8,24.0
103 ST,C,9,29.0
103 ST,C,10,59.0
103 ST,C,11,39.0
103 ST,C,12,19.0
103 ST,C,13,23.0
103 ST,C,14,52.0
103 ST,C,15,30.0
103 ST,C,16,20.0
103 ST,C,17,10.0
103 ST,C,18,20.0
103 ST,C,19,20.0
103 ST,C,20,18.0
103 ST,C,21,13.0
103 ST,C,22,9.0
103 ST,C,23,5.0
103 ST,D,0,0.0
103 ST,D,1,0.0
103 ST,D,2,0.0
103 ST,D,3,0.0
103 ST,D,4,0.0
103 ST,D,5,0.0
103 ST,D,6,0.0
103 ST,D,7,0.0
103 ST,D,8,0.0
103 ST,D,9,0.0
103 ST,D,10,0.0
103 ST,D,11,0.0
103 ST,D,12,0.0
103 ST,D,13,0.0
103 ST,D,14,0.0
103 ST,D,15,0.0
103 ST,D,16,0.0
103 ST,D,17,0.0
103 ST,D,18,0.0
103 ST,D,19,0.0
103 ST,D,20,0.0
103 ST,D,21,0.0
103 ST,D,22,0.0
103 ST,D,23,0.0
103 ST-CORONA,7,0,1.0
103 ST-CORONA,7,1,1.0
103 ST-CORONA,7,2,10.0
103 ST-CORONA,7,3,61.0
103 ST-CORONA,7,4,155.0
103 ST-CORONA,7,5,181.0
103 ST-CORONA,7,6,194.0
103 ST-CORONA,7,7,208.0
103 ST-CORONA,7,8,221.0
103 ST-CORONA,7,9,234.0
103 ST-CORONA,7,10,47.0
103 ST-CORONA,7,11,27.0
103 ST-CORONA,7,12,18.0
103 ST-CORONA,7,13,20.0
103 ST-CORONA,7,14,28.0
103 ST-CORONA,7,15,32.0
103 ST-CORONA,7,16,24.0
103 ST-CORONA,7,17,25.0
103 ST-CORONA,7,18,29.0
103 ST-CORONA,7,19,21.0
103 ST-CORONA,7,20,11.0
103 ST-CORONA,7,21,7.0
103 ST-CORONA,7,22,3.0
103 ST-CORONA,7,23,1.0
104 ST,A,0,0.0
104 ST,A,1,0.0
104 ST,A,2,0.0
104 ST,A,3,0.0
104 ST,A,4,6.0
104 ST,A,5,0.0
104 ST,A,6,66.0
104 ST,A,7,132.0
104 ST,A,8,198.0
104 ST,A,9,264.0
104 ST,A,10,4.0
104 ST,A,11,4.0
104 ST,A,12,4.0
104 ST,A,13,5.0
104 ST,A,14,7.0
104 ST,A,15,6.0
104 ST,A,16,5.0
104 ST,A,17,2.0
104 ST,A,18,2.0
104 ST,A,19,1.0
104 ST,A,20,0.0
104 ST,A,21,3.0
104 ST,A,22,0.0
104 ST,A,23,0.0
104 ST,J,0,1.0
104 ST,J,1,1.0
104 ST,J,2,1.0
104 ST,J,3,8.0
104 ST,J,4,24.0
104 ST,J,5,66.0
104 ST,J,6,169.0
104 ST,J,7,272.0
104 ST,J,8,376.0
104 ST,J,9,479.0
104 ST,J,10,39.0
104 ST,J,11,19.0
104 ST,J,12,18.0
104 ST,J,13,18.0
104 ST,J,14,35.0
104 ST,J,15,44.0
104 ST,J,16,10.0
104 ST,J,17,12.0
104 ST,J,18,33.0
104 ST,J,19,7.0
104 ST,J,20,6.0
104 ST,J,21,5.0
104 ST,J,22,2.0
104 ST,J,23,1.0
104 ST,Z,0,104.0
104 ST,Z,1,104.0
104 ST,Z,2,104.0
104 ST,Z,3,104.0
104 ST,Z,4,104.0
