STATION,route_id,hour,direction_id,weekday,current_crowd,last_month_crowd,last_year_crowd
103 ST,1,0,0.0,0,14.0,12.0,155.0
103 ST,1,0,0.0,1,17.0,11.0,226.0
103 ST,1,0,1.0,0,5.0,0.0,51.0
103 ST,1,0,1.0,1,3.0,1.0,12.0
103 ST,1,1,0.0,0,15.0,12.0,209.0
103 ST,1,1,0.0,1,9.0,9.0,163.0
103 ST,1,1,1.0,0,0.0,0.0,20.0
103 ST,1,1,1.0,1,0.0,0.0,0.0
103 ST,1,2,0.0,0,13.0,10.0,207.0
103 ST,1,2,0.0,1,20.0,11.0,227.0
103 ST,1,2,1.0,0,23.0,28.0,49.0
103 ST,1,2,1.0,1,51.0,36.0,213.0
103 ST,1,3,0.0,0,12.0,8.0,205.0
103 ST,1,3,0.0,1,30.0,12.0,292.0
103 ST,1,3,1.0,0,45.0,56.0,78.0
103 ST,1,3,1.0,1,103.0,72.0,426.0
103 ST,1,4,0.0,0,10.0,6.0,203.0
103 ST,1,4,0.0,1,41.0,14.0,357.0
103 ST,1,4,1.0,0,68.0,83.0,107.0
103 ST,1,4,1.0,1,154.0,108.0,639.0
103 ST,1,5,0.0,0,9.0,4.0,201.0
103 ST,1,5,0.0,1,52.0,15.0,422.0
103 ST,1,5,1.0,0,90.0,111.0,136.0
103 ST,1,5,1.0,1,206.0,143.0,852.0
103 ST,1,6,0.0,0,6.0,6.0,37.0
103 ST,1,6,0.0,1,13.0,10.0,295.0
103 ST,1,6,1.0,0,54.0,63.0,94.0
103 ST,1,6,1.0,1,100.0,87.0,541.0
103 ST,1,7,0.0,0,12.0,6.0,73.0
103 ST,1,7,0.0,1,16.0,10.0,240.0
103 ST,1,7,1.0,0,59.0,49.0,121.0
103 ST,1,7,1.0,1,51.0,38.0,353.0
103 ST,1,8,0.0,0,13.0,6.0,127.0
103 ST,1,8,0.0,1,12.0,6.0,168.0
103 ST,1,8,1.0,0,51.0,42.0,137.0
103 ST,1,8,1.0,1,33.0,24.0,241.0
103 ST,1,9,0.0,0,8.0,5.0,169.0
103 ST,1,9,0.0,1,10.0,6.0,163.0
103 ST,1,9,1.0,0,51.0,32.0,182.0
103 ST,1,9,1.0,1,52.0,38.0,339.0
103 ST,1,10,0.0,0,9.0,5.0,213.0
103 ST,1,10,0.0,1,16.0,15.0,197.0
103 ST,1,10,1.0,0,50.0,33.0,204.0
103 ST,1,10,1.0,1,44.0,30.0,296.0
103 ST,1,11,0.0,0,14.0,5.0,294.0
103 ST,1,11,0.0,1,28.0,15.0,263.0
103 ST,1,11,1.0,0,44.0,30.0,207.0
103 ST,1,11,1.0,1,90.0,66.0,342.0
103 ST,1,12,0.0,0,17.0,9.0,291.0
103 ST,1,12,0.0,1,39.0,20.0,345.0
103 ST,1,12,1.0,0,55.0,39.0,269.0
103 ST,1,12,1.0,1,71.0,51.0,389.0
103 ST,1,13,0.0,0,25.0,16.0,367.0
103 ST,1,13,0.0,1,58.0,28.0,324.0
103 ST,1,13,1.0,0,44.0,34.0,173.0
103 ST,1,13,1.0,1,56.0,44.0,302.0
103 ST,1,14,0.0,0,31.0,18.0,398.0
103 ST,1,14,0.0,1,98.0,50.0,364.0
103 ST,1,14,1.0,0,51.0,38.0,186.0
103 ST,1,14,1.0,1,71.0,57.0,310.0
103 ST,1,15,0.0,0,28.0,15.0,360.0
103 ST,1,15,0.0,1,107.0,55.0,435.0
103 ST,1,15,1.0,0,50.0,37.0,174.0
103 ST,1,15,1.0,1,60.0,45.0,306.0
103 ST,1,16,0.0,0,37.0,20.0,392.0
103 ST,1,16,0.0,1,90.0,48.0,433.0
103 ST,1,16,1.0,0,32.0,21.0,134.0
103 ST,1,16,1.0,1,39.0,28.0,248.0
103 ST,1,17,0.0,0,50.0,27.0,398.0
103 ST,1,17,0.0,1,74.0,37.0,430.0
103 ST,1,17,1.0,0,25.0,18.0,100.0
103 ST,1,17,1.0,1,30.0,22.0,224.0
103 ST,1,18,0.0,0,33.0,23.0,339.0
103 ST,1,18,0.0,1,75.0,34.0,440.0
103 ST,1,18,1.0,0,14.0,16.0,98.0
103 ST,1,18,1.0,1,26.0,16.0,240.0
103 ST,1,19,0.0,0,42.0,27.0,432.0
103 ST,1,19,0.0,1,64.0,30.0,461.0
103 ST,1,19,1.0,0,16.0,18.0,88.0
103 ST,1,19,1.0,1,20.0,13.0,185.0
103 ST,1,20,0.0,0,41.0,29.0,428.0
103 ST,1,20,0.0,1,48.0,28.0,428.0
103 ST,1,20,1.0,0,11.0,13.0,68.0
103 ST,1,20,1.0,1,15.0,12.0,138.0
103 ST,1,21,0.0,0,33.0,17.0,290.0
103 ST,1,21,0.0,1,30.0,20.0,318.0
103 ST,1,21,1.0,0,12.0,17.0,45.0
103 ST,1,21,1.0,1,14.0,12.0,92.0
103 ST,1,22,0.0,0,35.0,21.0,329.0
103 ST,1,22,0.0,1,22.0,15.0,237.0
103 ST,1,22,1.0,0,16.0,17.0,37.0
103 ST,1,22,1.0,1,16.0,13.0,46.0
103 ST,1,23,0.0,0,24.0,19.0,258.0
103 ST,1,23,0.0,1,20.0,16.0,209.0
103 ST,1,23,1.0,0,10.0,9.0,40.0
103 ST,1,23,1.0,1,12.0,7.0,24.0
103 ST,6,0,0.0,0,47.0,36.0,264.0
103 ST,6,0,0.0,1,45.0,35.0,181.0
103 ST,6,0,1.0,0,3.0,3.0,12.0
103 ST,6,0,1.0,1,3.0,3.0,5.0
103 ST,6,1,0.0,0,48.0,26.0,160.0
103 ST,6,1,0.0,1,30.0,20.0,181.0
