stop_id,order,route_id,station,id
101S,1,1,Van Cortlandt Park - 242 St,V.CORTLANDT PK
103S,2,1,238 St,238 ST
104S,3,1,231 St,231 ST
106S,4,1,Marble Hill - 225 St,MARBLE HILL-225
107S,5,1,215 St,
108S,6,1,207 St,207 ST
109S,7,1,Dyckman St,DYCKMAN ST
110S,8,1,191 St,191 ST
111S,9,1,181 St,181 ST
112S,10,1,168 St - Washington Hts,168 ST
113S,11,1,157 St,157 ST
114S,12,1,145 St,145 ST
115S,13,1,137 St - City College,137 ST CITY COL
116S,14,1,125 St,125 ST
117S,15,1,116 St - Columbia University,116 ST-COLUMBIA
118S,16,1,Cathedral Pkwy (110 St),CATHEDRAL PKWY
119S,17,1,103 St,103 ST
120S,18,1,96 St,96 ST
121S,19,1,86 St,86 ST
122S,20,1,79 St,79 ST
123S,21,1,72 St,72 ST
124S,22,1,66 St - Lincoln Center,66 ST-LINCOLN
125S,23,1,59 St - Columbus Circle,59 ST COLUMBUS
126S,24,1,50 St,50 ST
127S,25,1,Times Sq - 42 St,TIMES SQ-42 ST
128S,26,1,34 St - Penn Station,34 ST-PENN STA
129S,27,1,28 St,28 ST
130S,28,1,23 St,23 ST
131S,29,1,18 St,18 ST
132S,30,1,14 St,14 ST
133S,31,1,Christopher St - Sheridan Sq,CHRISTOPHER ST
134S,32,1,Houston St,HOUSTON ST
135S,33,1,Canal St,CANAL ST
136S,34,1,Franklin St,FRANKLIN ST
137S,35,1,Chambers St,CHAMBERS ST
138S,36,1,Cortlandt St,WTC-CORTLANDT
139S,37,1,Rector St,RECTOR ST
142S,38,1,South Ferry,SOUTH FERRY
201S,1,2,Wakefield - 241 St,WAKEFIELD/241
204S,2,2,Nereid Av,NEREID AV
205S,3,2,233 St,233 ST
206S,4,2,225 St,225 ST
207S,5,2,219 St,219 ST
208S,6,2,Gun Hill Rd,GUN HILL RD
209S,7,2,Burke Av,BURKE AV
210S,8,2,Allerton Av,ALLERTON AV
211S,9,2,Pelham Pkwy,PELHAM PKWY
212S,10,2,Bronx Park East,BRONX PARK EAST
213S,11,2,E 180 St,E 180 ST
214S,12,2,West Farms Sq - E Tremont Av,WEST FARMS SQ
215S,13,2,174 St,174 ST
216S,14,2,Freeman St,FREEMAN ST
217S,15,2,Simpson St,SIMPSON ST
218S,16,2,Intervale Av,INTERVALE AV
219S,17,2,Prospect Av,PROSPECT AV
220S,18,2,Jackson Av,JACKSON AV
221S,19,2,3 Av - 149 St,
222S,20,2,149 St - Grand Concourse,149/GRAND CONC
224S,21,2,135 St,135 ST
225S,22,2,125 St,125 ST
226S,23,2,116 St,116 ST
227S,24,2,Central Park North (110 St),CENTRAL PK N110
120S,25,2,96 St,96 ST
123S,26,2,72 St,72 ST
127S,27,2,Times Sq - 42 St,TIMES SQ-42 ST
128S,28,2,34 St - Penn Station,34 ST-PENN STA
132S,29,2,14 St,14 ST
137S,30,2,Chambers St,CHAMBERS ST
228S,31,2,Park Pl,PARK PLACE
229S,32,2,Fulton St,FULTON ST
230S,33,2,Wall St,WALL ST
231S,34,2,Clark St,CLARK ST
232S,35,2,Borough Hall,BOROUGH HALL
233S,36,2,Hoyt St,HOYT ST
234S,37,2,Nevins St,NEVINS ST
235S,38,2,Atlantic Av - Barclays Ctr,ATL AV-BARCLAY
236S,39,2,Bergen St,BERGEN ST
237S,40,2,Grand Army Plaza,GRAND ARMY PLAZ
238S,41,2,Eastern Pkwy - Brooklyn Museum,EASTN PKWY-MUSM
239S,42,2,Franklin Av,FRANKLIN AV
241S,43,2,President St,PRESIDENT ST
242S,44,2,Sterling St,STERLING ST
243S,45,2,Winthrop St,WINTHROP ST
