station_name,clean_lines,station_lines,el_station_name,el_lines,equipments,gtfs_station_name,gtfs_lines,turnstile_station_name,turnstile_lines,gtfs_stop_id,lat,lon,turnstile_units
Astor Pl,46,4-6-6 Express,,,,Astor Pl,"4,6,6X",ASTOR PL,6,636,40.730053999999996,-73.99107,R160
Canal St,46,4-6-6 Express,Canal St,6,"EL324,EL325",Canal St,"4,6,6X",CANAL ST,JNQRZ6W,639,40.718803,-74.00019300000001,"R118,R462,R463"
50th St,12,1-2,,,,50 St,"1,2",50 ST,1,126,40.76172800000001,-73.98384899999999,R116
Bergen St,234,2-3-4,,,,Bergen St,"2,3,4",BERGEN ST,23,236,40.680828999999996,-73.975098,R058
Pennsylvania Ave,34,3-4,,,,Pennsylvania Av,"2,3,4,5",PENNSYLVANIA AV,3,255,40.664635,-73.89489499999999,R067
238th St,1,1,,,,238 St,1,238 ST,1,103,40.884667,-73.90087,R306
Cathedral Pkwy (110th St),ABC,A-B-C,,,,Cathedral Pkwy (110 St),"A,B,C",CATHEDRAL PKWY,BC,A17,40.800603,-73.958161,R334
Kingston - Throop Aves,AC,A-C,,,,Kingston - Throop Avs,"A,C",KINGSTON-THROOP,C,A47,40.679921,-73.94085799999999,R199
65th St,EMR,E-M-R,,,,65 St,"E,M,R",65 ST,MR,G15,40.749669,-73.898453,R340
36th St,EMR,E-M-R,,,,36 St,"E,M,R",36 ST,MR,G20,40.752039,-73.928781,R197
Delancey St - Essex St,JMZ,J-M-Z,Delancey St Essex St,F/J/M/Z,"ES327,ES328",Delancy St - Essex St,"J,Z,M",DELANCEY ST,FJMZ,M18,40.718315000000004,-73.987437,R142
Van Siclen Ave,JZ,J-Z,,,,Van Siclen Av,"J,Z",VAN SICLEN AV,JZ,J23,40.678024,-73.891688,R434
Norwood Ave,JZ,J-Z,,,,Norwood Av,"J,Z",NORWOOD AV,JZ,J21,40.68141,-73.880039,R436
104th-102nd Sts,JZ,J-Z,,,,104 St,"J,Z",104 ST,JZ,J14,40.69517800000001,-73.84433,R007
DeKalb Ave,BDNQR,B-D-N-Q-R,Dekalb Av,B/Q/R,"EL370,EL372,EL371,ES309,ES308",DeKalb Av,"B,D,N,W,Q,R",DEKALB AV,BDNQR,R30,40.690635,-73.981824,R099
Beach 105th St,AS,A-S,,,,Beach 105 St,"A,S",BEACH 105 ST,AS,H14,40.583209000000004,-73.827559,R418
Beach 90th St,AS,A-S,,,,Beach 90 St,"A,S",BEACH 90 ST,AS,H12,40.588034,-73.813641,R416
Freeman St,25,2-5,,,,Freeman St,"2,5",FREEMAN ST,25,216,40.829993,-73.891865,R409
Intervale Ave,25,2-5,Intervale Av,2/5,ES108,Intervale Av,"2,5",INTERVALE AV,25,218,40.822181,-73.896736,R407
182nd-183rd Sts,BD,B-D,,,,182-183 Sts,"B,D",182-183 STS,BD,D06,40.856093,-73.900741,R237
174th-175th Sts,BD,B-D,,,,174-175 Sts,"B,D",174-175 STS,BD,D08,40.8459,-73.910136,R253
167th St,BD,B-D,,,,167 St,"B,D",167 ST,BD,D10,40.833771,-73.91844,R104
Mets - Willets Point,7,7-7 Express,,,,Mets - Willets Point,"7,7X",METS-WILLETS PT,7,702,40.754622,-73.845625,R328
Junction Blvd,7,7-7 Express,Junction Blvd,7,"EL427,EL426,EL425",Junction Blvd,"7,7X",JUNCTION BLVD,7,707,40.749145,-73.869527,R097
Flushing - Main St,7,7-7 Express,Flushing Main St,7,"EL414,ES457,ES456,ES455",Flushing - Main St,"7,7X",FLUSHING-MAIN,7,701,40.7596,-73.83003000000001,R055
Buhre Ave,6,6-6 Express,,,,Buhre Av,"6,6X",BUHRE AV,6,602,40.84681,-73.83256899999999,R428
3rd Ave - 138th St,6,6-6 Express,,,,3 Av - 138 St,"6,6X",3 AV 138 ST,6,619,40.810476,-73.926138,R445
Castle Hill Ave,6,6-6 Express,,,,Castle Hill Av,"6,6X",CASTLE HILL AV,6,607,40.834255,-73.85122199999999,R106
Brooklyn Bridge - City Hall,456,4-5-6-6 Express,Brooklyn Bridge - City Hall,4/5/6,"EL315,EL316,EL314",Brooklyn Bridge - City Hall,"4,5,5X,6,6X",BROOKLYN BRIDGE,456JZ,640,40.713065,-74.004131,R044
Zerega Ave,6,6-6 Express,,,,Zerega Av,"6,6X",ZEREGA AV,6,606,40.836488,-73.847036,R326
Grand Central - 42nd St,456,4-5-6-6 Express,42 St - Grand Central,4/5/6/7,"EL204,ES207,ES209,ES610X,ES203,ES204,ES206,ES205,ES210,ES208,EL244,EL205,EL206,EL296,ES609X,ES608X,ES256,ES255",Grand Central - 42 St,"4,5,5X,6,6X",42 ST-GRD CNTRL,4567S,631,40.751776,-73.976848,"R045,R046,R047,R048"
33rd St,46,4-6-6 Express,,,,33 St,"4,6,6X",33 ST,6,632,40.746081,-73.982076,R176
96th St,46,4-6-6 Express,,,,96 St,"4,6,6X",96 ST,6,625,40.785672,-73.95107,R144
77th St,46,4-6-6 Express,,,,77 St,"4,6,6X",77 ST,6,627,40.77362,-73.959874,R178
Chauncey St,JZ,J-Z,,,,Chauncey St,"J,Z",CHAUNCEY ST,JZ,J28,40.682893,-73.91045600000001,R432
Union St,DNR,D-N-R,,,,Union St,"D,N,W,R",UNION ST,R,R32,40.677316,-73.98311,R231
