name,id,route_id,LINENAME
1 Av,1 AV,L,L
103 St,103 ST,1,1
103 St,103 ST,6,6
103 St,103 ST,C,BC
103 St,103 ST,B,BC
103 St - Corona Plaza,103 ST-CORONA,7,7
104 St,104 ST,A,A
104 St,104 ST,J,JZ
104 St,104 ST,Z,JZ
110 St,110 ST,6,6
111 St,111 ST,7,7
111 St,111 ST,A,A
111 St,111 ST,J,J
116 St,116 ST,3,23
116 St,116 ST,2,23
116 St,116 ST,6,6
116 St,116 ST,C,BC
116 St,116 ST,B,BC
116 St - Columbia University,116 ST-COLUMBIA,1,1
121 St,121 ST,J,JZ
121 St,121 ST,Z,JZ
125 St,125 ST,1,1
125 St,125 ST,3,23
125 St,125 ST,2,23
125 St,125 ST,6,456
125 St,125 ST,4,456
125 St,125 ST,5,456
125 St,125 ST,C,ACBD
125 St,125 ST,D,ACBD
125 St,125 ST,A,ACBD
125 St,125 ST,B,ACBD
135 St,135 ST,3,23
135 St,135 ST,2,23
135 St,135 ST,C,BC
135 St,135 ST,B,BC
137 St - City College,137 ST CITY COL,1,1
138 St - Grand Concourse,138/GRAND CONC,4,45
138 St - Grand Concourse,138/GRAND CONC,5,45
14 St,14 ST,2,123FLM
14 St,14 ST,1,123FLM
14 St,14 ST,3,123FLM
14 St,14 ST,M,123FLM
14 St,14 ST,F,123FLM
14 St,14 ST,E,ACEL
14 St,14 ST,A,ACEL
14 St,14 ST,C,ACEL
145 St,145 ST,1,1
145 St,145 ST,3,3
145 St,145 ST,A,ABCD
145 St,145 ST,D,ABCD
145 St,145 ST,C,ABCD
145 St,145 ST,B,ABCD
149 St - Grand Concourse,149/GRAND CONC,2,245
149 St - Grand Concourse,149/GRAND CONC,4,245
149 St - Grand Concourse,149/GRAND CONC,5,245
155 St,155 ST,D,BD
155 St,155 ST,B,BD
155 St,155 ST,C,C
157 St,157 ST,1,1
163 St - Amsterdam Av,163 ST-AMSTERDM,C,C
167 St,167 ST,4,4
167 St,167 ST,D,BD
167 St,167 ST,B,BD
169 St,169 ST,F,F
170 St,170 ST,4,4
170 St,170 ST,D,BD
170 St,170 ST,B,BD
174 St,174 ST,2,25
174 St,174 ST,5,25
174-175 Sts,174-175 STS,D,BD
174-175 Sts,174-175 STS,B,BD
175 St,175 ST,A,A
176 St,176 ST,4,4
18 Av,18 AV,D,D
18 Av,18 AV,F,F
18 Av,18 AV,N,N
18 St,18 ST,1,1
181 St,181 ST,1,1
181 St,181 ST,A,A
182-183 Sts,182-183 STS,D,BD
182-183 Sts,182-183 STS,B,BD
