equipment_id,line,direction,station
EL122,6,manhattan,Pelham Bay Park
EL124,A,north,175 St
EL124,A,south,175 St
EL126,5,south,125 St
EL126,4,south,125 St
EL126,6,north,125 St
EL126,4,north,125 St
EL126,5,north,125 St
EL126,6,south,125 St
EL127,5,bronx,Simpson St
EL127,2,bronx,Simpson St
EL128,5,manhattan,Simpson St
EL128,2,manhattan,Simpson St
EL129,5,bronx,149 St - 3 Av
EL129,2,bronx,149 St - 3 Av
EL130,2,manhattan,149 St - 3 Av
EL130,5,manhattan,149 St - 3 Av
EL132,4,woodlawn,161 St - Yankee Stadium
EL133,4,manhattan,161 St - Yankee Stadium
EL134,B,manhattan,161 St - Yankee Stadium
EL134,D,manhattan,161 St - Yankee Stadium
EL135,D,north,161 St - Yankee Stadium
EL135,B,north,161 St - Yankee Stadium
EL135,4,norwood 205 st,161 St - Yankee Stadium
EL135,D,norwood 205 st,161 St - Yankee Stadium
EL135,D,south,161 St - Yankee Stadium
EL135,B,norwood 205 st,161 St - Yankee Stadium
EL135,B,south,161 St - Yankee Stadium
EL137,5,manhattan,Pelham Pkwy
EL137,2,manhattan,Pelham Pkwy
EL138,2,wakefield 241 st,Pelham Pkwy
EL138,5,wakefield 241 st,Pelham Pkwy
EL140,C,north,168 St
EL140,A,north,168 St
EL140,C,south,168 St
EL141,A,south,168 St
EL141,C,south,168 St
EL143,D,south,125 St
EL143,C,south,125 St
EL143,A,south,125 St
EL143,B,south,125 St
EL144,B,north,125 St
EL144,A,north,125 St
EL144,C,north,125 St
EL144,D,north,125 St
EL145,2,south,96 St
EL145,3,south,96 St
EL145,1,south,96 St
EL146,3,north,96 St
EL146,2,north,96 St
EL146,1,north,96 St
EL149,A,south,207 St - Inwood
EL159,5,bronx,East 180 St
EL159,2,bronx,East 180 St
EL160,5,manhattan,East 180 St
EL160,2,manhattan,East 180 St
EL178,1,south,Dyckman St
EL180,3,bronx,135 St
EL180,2,bronx,135 St
EL181,3,south,135 St
EL181,2,south,135 St
EL182,2,wakefield 241 st,Gun Hill Rd
EL182,5,wakefield 241 st,Gun Hill Rd
EL183,5,manhattan,Gun Hill Rd
EL183,2,manhattan,Gun Hill Rd
EL184,1,manhattan,231 St
EL185,1,van cortlandt park,231 St
EL187,4,woodlawn,Fordham Rd
EL188,4,manhattan,Fordham Rd
EL190,B,south,Kingsbridge Road
EL190,B,north,Kingsbridge Road
EL190,D,south,Kingsbridge Road
EL190,B,norwood 205 st,Kingsbridge Road
EL190,D,north,Kingsbridge Road
EL190,D,norwood 205 st,Kingsbridge Road
EL191,D,manhattan,Kingsbridge Road
EL191,B,manhattan,Kingsbridge Road
EL193,5,wakefield 241 st,233 St
EL193,2,wakefield 241 st,233 St
EL194,5,manhattan,233 St
EL194,2,manhattan,233 St
EL196,6,pelham bay parkway,Hunts Point
EL197,6,manhattan,Hunts Point
EL202,6,south,51 St
EL202,E,north,51 St
EL202,M,north,51 St
EL202,M,south,51 St
EL202,E,south,51 St
EL205,5,south,42 St - Grand Central
EL205,6,south,42 St - Grand Central
EL205,4,south,42 St - Grand Central
EL206,5,north,42 St - Grand Central
EL206,4,north,42 St - Grand Central
EL206,6,north,42 St - Grand Central
EL208X,C,south,50 St
EL208X,E,south,50 St
EL209,D,south,34 St - Herald Sq
EL209,F,south,34 St - Herald Sq
EL209,M,south,34 St - Herald Sq
EL209,B,south,34 St - Herald Sq
EL210,F,north,34 St - Herald Sq
EL210,D,north,34 St - Herald Sq
EL210,M,north,34 St - Herald Sq
EL210,B,north,34 St - Herald Sq
EL211,Q,south,34 St - Herald Sq
EL211,W,south,34 St - Herald Sq
EL211,N,south,34 St - Herald Sq
EL211,R,south,34 St - Herald Sq
EL212,Q,north,34 St - Herald Sq
EL212,R,north,34 St - Herald Sq
EL212,N,north,34 St - Herald Sq
EL212,W,north,34 St - Herald Sq
EL214,1,north,34 St - Penn
EL215,3,south,34 St - Penn
EL215,2,south,34 St - Penn
EL215,3,north,34 St - Penn
EL215,2,north,34 St - Penn
EL216,1,south,34 St - Penn
EL218,L,south,14 St - Union Sq
EL218,L,north,14 St - Union Sq
EL219,W,north,14 St - Union Sq
EL219,N,north,14 St - Union Sq
EL219,Q,north,14 St - Union Sq
EL219,R,north,14 St - Union Sq
EL220,N,south,14 St - Union Sq
EL220,W,south,14 St - Union Sq
EL220,R,south,14 St - Union Sq
EL220,Q,south,14 St - Union Sq
EL222,C,south,14 St - 8 Av
EL222,E,south,14 St - 8 Av
EL222,A,south,14 St - 8 Av
EL223,C,north,14 St - 8 Av
EL223,E,north,14 St - 8 Av
EL223,A,north,14 St - 8 Av
EL224,L,south,8 Av - 14 St
EL224,L,north,8 Av - 14 St
EL225,E,north,34 St - Penn
EL225,C,north,34 St - Penn
EL226,C,north,34 St - Penn
EL226,E,north,34 St - Penn
EL227,A,north,34 St - Penn
EL227,A,south,34 St - Penn
EL228,E,south,34 St - Penn
EL228,C,south,34 St - Penn
EL229,R,south,Times Sq - 42 St
EL229,Q,south,Times Sq - 42 St
EL229,N,south,Times Sq - 42 St
EL229,W,south,Times Sq - 42 St
EL230,N,north,Times Sq - 42 St
EL230,R,north,Times Sq - 42 St
EL230,W,north,Times Sq - 42 St
EL230,Q,north,Times Sq - 42 St
EL232,7,south,Times Sq - 42 St
EL232,3,south,Times Sq - 42 St
EL232,7,north,Times Sq - 42 St
EL232,2,south,Times Sq - 42 St
EL232,1,south,Times Sq - 42 St
EL233,3,north,Times Sq - 42 St
EL233,1,north,Times Sq - 42 St
EL233,2,north,Times Sq - 42 St
EL235,D,north,47-50 St - Rockefeller Ctr
EL235,F,north,47-50 St - Rockefeller Ctr
EL235,B,north,47-50 St - Rockefeller Ctr
EL235,M,north,47-50 St - Rockefeller Ctr
EL236,B,south,47-50 St - Rockefeller Ctr
EL236,F,south,47-50 St - Rockefeller Ctr
EL236,D,south,47-50 St - Rockefeller Ctr
EL236,M,south,47-50 St - Rockefeller Ctr
EL237,1,north,66 St - Lincoln Center
EL238,1,south,66 St - Lincoln Center
EL239,3,north,72 St
EL239,2,north,72 St
EL239,1,north,72 St
EL240,2,south,72 St
EL240,1,south,72 St
EL240,3,south,72 St
EL244,7,north,42 St - Grand Central
EL244,7,south,42 St - Grand Central
EL245,M,south,Lexington Av / 53 St
EL245,E,south,Lexington Av / 53 St
EL245,M,north,Lexington Av / 53 St
EL245,E,north,Lexington Av / 53 St
EL247,Q,south,96 St / 2 Av
EL249,Q,north,86 St / 2 Av
EL249,Q,south,86 St / 2 Av
EL259,Q,north,72 St / 2 Av
EL259,Q,south,72 St / 2 Av
EL268X,W,north,49 St
EL268X,R,north,49 St
EL268X,N,north,49 St
EL273,6,north,86 St
EL277,1,south,59 St - Columbus Cir
EL278,A,north,59 St - Columbus Cir
EL278,C,north,59 St - Columbus Cir
EL278,D,north,59 St - Columbus Cir
EL278,B,north,59 St - Columbus Cir
EL279,C,north,59 St - Columbus Cir
EL279,B,north,59 St - Columbus Cir
EL279,A,north,59 St - Columbus Cir
EL279,D,north,59 St - Columbus Cir
EL279,1,north,59 St - Columbus Cir
EL279X,6,south,28 St
EL280,C,south,59 St - Columbus Cir
EL280,D,north,59 St - Columbus Cir
EL280,A,north,59 St - Columbus Cir
EL280,B,south,59 St - Columbus Cir
EL280,B,north,59 St - Columbus Cir
EL280,A,south,59 St - Columbus Cir
EL280,C,north,59 St - Columbus Cir
EL280,D,south,59 St - Columbus Cir
EL280,1,north,59 St - Columbus Cir
EL298,6,north,23 St
